E,B,Op,DLDuration,DLCpuCore,DlCpuTotal,DLGpu,DCopyDuration,DCopyCpuCore,DCopyCpuTotal,DCopyGpu,FPDuration,FPCpuCore,FPCpuTotal,FPGpu,BPDuration,BPCpuCore,BPCpuTotal,BPGpu
1,1,Backward Pass Time,4.251242,333.71708485704494,1304.8234083122873,261.2356893115999,0.000537,7.817319188790135,39.08659594395068,6.088321517577713,3.125829,240.80135988015715,1019.3567736886115,233.89903669619716,1.98447,155.4680714062123,380.65675450098183,216.73381497159733
1,2,Backward Pass Time,0.000352,7.78706467227285,38.93532336136425,10.722939318855273,9.1e-05,7.78706467227285,38.93532336136425,10.722939318855273,0.020518,7.78706467227285,38.93532336136425,10.722939318855273,0.030969,7.78706467227285,38.93532336136425,10.722939318855273
1,3,Backward Pass Time,0.433563,39.295028392500996,103.4492574516437,93.15515283363248,0.000118,7.901978428238115,9.013974100506424,19.86392602259447,0.021562,7.901978428238115,9.013974100506424,19.86392602259447,0.116048,7.874330605840958,39.37165302920479,19.52170875997851
1,4,Backward Pass Time,2.931894,225.8394991488027,901.4199818321122,396.11153503126167,0.00015,7.828631599300691,38.18674689661027,6.583925628460634,0.028806,7.828631599300691,38.18674689661027,6.583925628460634,0.016354,7.880891068123175,39.073338844738636,15.434283710697947
1,5,Backward Pass Time,2.932498,225.16492940287827,988.0599388350795,321.6622468077216,9.4e-05,7.80885873627736,39.084268594106476,7.290978577043273,0.015948,7.80885873627736,39.084268594106476,7.290978577043273,0.014647,7.80885873627736,39.084268594106476,7.290978577043273
1,6,Backward Pass Time,2.693326,209.89127196088756,970.5646601832804,319.7348308247193,0.000106,7.776342624724107,38.08524956527327,6.5919979172143846,0.015646,7.776342624724107,38.08524956527327,6.5919979172143846,0.01646,7.776342624724107,38.08524956527327,6.5919979172143846
1,7,Backward Pass Time,2.673318,202.17867971427913,913.2605279250533,302.7302378611399,0.000157,7.810821954731423,38.45963658565838,6.596706842740601,0.029447,7.810821954731423,38.45963658565838,6.596706842740601,0.019022,7.869673447443281,38.68403764477795,10.863499393656262
1,8,Backward Pass Time,2.959408,225.91818851843794,1096.0729076359073,332.5489916058236,0.000152,7.782536410678311,38.912682053391556,6.61160146974372,0.045996,7.782536410678311,38.912682053391556,6.61160146974372,0.021962,7.858299449985221,39.29149724992611,14.024260288734864
1,9,Backward Pass Time,3.01238,233.18213962791617,998.2961172665183,329.63631533735673,0.000171,7.790164534721506,38.95082267360753,6.624890892871071,0.028668,7.790164534721506,38.95082267360753,6.624890892871071,0.024004,7.790164534721506,38.95082267360753,6.624890892871071
1,10,Backward Pass Time,2.85454,217.67751360450825,881.1429185506296,320.0429522185198,0.000149,7.7946948820399875,38.70962013522783,6.812032700233449,0.028697,7.7946948820399875,38.70962013522783,6.812032700233449,0.025759,7.878197077412205,39.18879700930916,13.963371432688707
1,11,Backward Pass Time,3.120935,241.26064114933655,1017.0526997593466,344.76101134359067,0.000145,7.813185951474676,39.06592975737338,7.690724489358593,0.028611,7.813185951474676,39.06592975737338,7.690724489358593,0.027422,7.813185951474676,39.06592975737338,7.690724489358593
1,12,Backward Pass Time,2.766952,210.33951362901183,1013.3724534048906,307.64157901786297,0.000173,7.813475932052075,37.966120193092436,6.621311720271007,0.028692,7.813475932052075,37.966120193092436,6.621311720271007,0.027445,7.862847358639957,25.448843697268245,10.046889901477833
1,13,Backward Pass Time,2.568849,202.67505765780666,955.4531129781132,311.34759234125266,0.000147,7.872069511399887,38.624700856259935,12.565525527144404,0.028677,7.872069511399887,38.624700856259935,12.565525527144404,0.027337,7.872069511399887,38.624700856259935,12.565525527144404
1,14,Backward Pass Time,2.86253,226.16913686907216,1002.247465741524,329.0877389066804,0.000149,7.854758621998462,39.250718454346064,6.646434242155438,0.028694,7.854758621998462,39.250718454346064,6.646434242155438,0.027875,7.854758621998462,39.250718454346064,6.646434242155438
1,15,Backward Pass Time,2.739985,218.3910075500354,990.6592296407401,319.77959968085895,0.000149,7.8678693744650205,39.30902454940991,7.2475315716097555,0.028639,7.8678693744650205,39.30902454940991,7.2475315716097555,0.032818,7.8678693744650205,39.30902454940991,7.2475315716097555
1,16,Backward Pass Time,2.862201,226.08689038664318,797.6407756364995,343.9479511595061,9.9e-05,7.811096829957512,39.05548414978756,9.049636767387213,0.016219,7.811096829957512,39.05548414978756,9.049636767387213,0.018453,7.811096829957512,39.05548414978756,9.049636767387213
1,17,Backward Pass Time,2.830509,225.8837545082304,922.7278048247939,334.6418679277597,0.000219,7.866707228276716,39.333536141383576,10.85412592989498,0.028719,7.866707228276716,39.333536141383576,10.85412592989498,0.024937,7.866707228276716,39.333536141383576,10.85412592989498
1,18,Backward Pass Time,2.986056,234.61595767389804,1082.503693922782,343.2860786901453,0.000196,7.8626698978343565,38.9516327432939,6.6687,0.029865,7.8626698978343565,38.9516327432939,6.6687,0.025506,7.8626698978343565,38.9516327432939,6.6687
1,19,Backward Pass Time,2.895398,218.33516795671383,1034.665811085239,320.1587930326039,0.000154,7.7937182010733554,38.05135085950092,6.661995305018102,0.028881,7.7937182010733554,38.05135085950092,6.661995305018102,0.016101,7.846002811829354,38.31524993763083,13.231952256330871
1,20,Backward Pass Time,2.91157,226.40589608606706,1005.8948082900755,326.305739405346,0.000151,7.854967353824385,40.23300962501318,6.683968819769838,0.028823,7.854967353824385,40.23300962501318,6.683968819769838,0.027315,7.854967353824385,40.23300962501318,6.683968819769838
