E,B,Op,DLDuration,DLCpuCore,DlCpuTotal,DLGpu,DCopyDuration,DCopyCpuCore,DCopyCpuTotal,DCopyGpu,FPDuration,FPCpuCore,FPCpuTotal,FPGpu,BPDuration,BPCpuCore,BPCpuTotal,BPGpu
1,27,Backward Pass Time,0.000577,7.742963,38.714815,6.8035,9.8e-05,7.742963,38.714815,6.8035,0.649858,54.200741,271.00370499999997,47.6245,0.508331,38.714814999999994,193.574075,34.0175
1,28,Backward Pass Time,0.000485,7.742963,38.714815,6.8035,9.4e-05,7.742963,38.714815,6.8035,0.653335,46.457778,232.28888999999998,40.821,0.50672,38.714814999999994,193.574075,34.0175
1,29,Backward Pass Time,0.000594,7.742963,38.714815,6.8035,0.000107,7.742963,38.714815,6.8035,0.651851,54.200741,271.00370499999997,47.6245,0.507705,38.714814999999994,193.574075,34.0175
1,30,Backward Pass Time,0.000355,7.742963,38.714815,6.8035,9e-05,7.742963,38.714815,6.8035,0.650748,46.457778,232.28888999999998,40.821,0.507884,38.714814999999994,193.574075,34.0175
1,31,Backward Pass Time,0.000394,7.742963,38.714815,6.8035,8.4e-05,7.742963,38.714815,6.8035,0.652329,54.200741,271.00370499999997,47.6245,0.507537,38.714814999999994,193.574075,34.0175
1,32,Backward Pass Time,0.000306,7.742963,38.714815,6.8035,8.2e-05,7.742963,38.714815,6.8035,0.65319,54.200741,271.00370499999997,47.6245,0.509107,38.714814999999994,193.574075,34.0175
1,33,Backward Pass Time,0.000382,7.742963,38.714815,6.8035,7.6e-05,7.742963,38.714815,6.8035,0.652843,46.457778,232.28888999999998,40.821,0.507552,38.714814999999994,193.574075,34.0175
1,34,Backward Pass Time,0.000391,7.742963,38.714815,6.8035,7.7e-05,7.742963,38.714815,6.8035,0.652369,54.200741,271.00370499999997,47.6245,0.507921,38.714814999999994,193.574075,34.0175
1,35,Backward Pass Time,0.000421,7.742963,38.714815,6.8035,8.7e-05,7.742963,38.714815,6.8035,0.650388,46.457778,232.28888999999998,40.821,0.506858,38.714814999999994,193.574075,34.0175
1,36,Backward Pass Time,0.000645,7.742963,38.714815,6.8035,9.7e-05,7.742963,38.714815,6.8035,0.651658,54.200741,271.00370499999997,47.6245,0.506412,38.714814999999994,193.574075,34.0175
1,37,Backward Pass Time,0.000391,7.742963,38.714815,6.8035,9.4e-05,7.742963,38.714815,6.8035,0.651179,54.200741,271.00370499999997,47.6245,0.507472,38.714814999999994,193.574075,34.0175
1,38,Backward Pass Time,0.000608,7.742963,38.714815,6.8035,0.000103,7.742963,38.714815,6.8035,0.652105,46.457778,232.28888999999998,40.821,0.507376,38.714814999999994,193.574075,34.0175
1,39,Backward Pass Time,0.000419,7.742963,38.714815,6.8035,8.7e-05,7.742963,38.714815,6.8035,0.651821,54.200741,271.00370499999997,47.6245,0.507094,38.714814999999994,193.574075,34.0175
1,40,Backward Pass Time,0.000328,7.742963,38.714815,6.8035,7.6e-05,7.742963,38.714815,6.8035,0.653465,46.457778,232.28888999999998,40.821,0.506397,38.714814999999994,193.574075,34.0175
1,41,Backward Pass Time,0.000652,7.742963,38.714815,6.8035,0.0001,7.742963,38.714815,6.8035,0.651172,54.200741,271.00370499999997,47.6245,0.506543,38.714814999999994,193.574075,34.0175
1,42,Backward Pass Time,0.000501,7.742963,38.714815,6.8035,9.7e-05,7.742963,38.714815,6.8035,0.649919,54.200741,271.00370499999997,47.6245,0.507312,38.714814999999994,193.574075,34.0175
1,43,Backward Pass Time,0.000478,7.742963,38.714815,6.8035,8.8e-05,7.742963,38.714815,6.8035,0.650911,46.457778,232.28888999999998,40.821,0.507077,38.714814999999994,193.574075,34.0175
1,44,Backward Pass Time,0.00056,7.742963,38.714815,6.8035,9.1e-05,7.742963,38.714815,6.8035,0.652121,54.200741,271.00370499999997,47.6245,0.507037,38.714814999999994,193.574075,34.0175
1,45,Backward Pass Time,0.000325,7.742963,38.714815,6.8035,7.9e-05,7.742963,38.714815,6.8035,0.651809,46.457778,232.28888999999998,40.821,0.508786,38.714814999999994,193.574075,34.0175
1,46,Backward Pass Time,0.000391,7.742963,38.714815,6.8035,8.6e-05,7.742963,38.714815,6.8035,0.65204,54.200741,271.00370499999997,47.6245,0.505083,38.714814999999994,193.574075,34.0175
1,47,Backward Pass Time,0.000318,7.742963,38.714815,6.8035,8.7e-05,7.742963,38.714815,6.8035,0.651076,54.200741,271.00370499999997,47.6245,0.50662,38.714814999999994,193.574075,34.0175
1,48,Backward Pass Time,0.000331,7.742963,38.714815,6.8035,8.1e-05,7.742963,38.714815,6.8035,0.650171,46.457778,232.28888999999998,40.821,0.505736,38.714814999999994,193.574075,34.0175
1,49,Backward Pass Time,0.000308,7.742963,38.714815,6.8035,7.8e-05,7.742963,38.714815,6.8035,0.6538,54.200741,271.00370499999997,47.6245,0.506398,38.714814999999994,193.574075,34.0175
1,50,Backward Pass Time,0.000363,7.742963,38.714815,6.8035,7.7e-05,7.742963,38.714815,6.8035,0.651129,46.457778,232.28888999999998,40.821,0.506819,38.714814999999994,193.574075,34.0175
1,51,Backward Pass Time,0.000349,7.742963,38.714815,6.8035,7.7e-05,7.742963,38.714815,6.8035,0.651095,54.200741,271.00370499999997,47.6245,0.506083,38.714814999999994,193.574075,34.0175
1,52,Backward Pass Time,0.000348,7.742963,38.714815,6.8035,8.6e-05,7.742963,38.714815,6.8035,0.651788,46.457778,232.28888999999998,40.821,0.506012,38.714814999999994,193.574075,34.0175
1,53,Backward Pass Time,0.000318,7.742963,38.714815,6.8035,7.7e-05,7.742963,38.714815,6.8035,0.652244,46.457778,232.28888999999998,40.821,0.50681,38.714814999999994,193.574075,34.0175
1,54,Backward Pass Time,0.00041,7.742963,38.714815,6.8035,8.8e-05,7.742963,38.714815,6.8035,0.65312,54.200741,271.00370499999997,47.6245,0.506239,38.714814999999994,193.574075,34.0175
1,55,Backward Pass Time,0.00031,7.742963,38.714815,6.8035,7.7e-05,7.742963,38.714815,6.8035,0.650583,46.457778,232.28888999999998,40.821,0.505811,38.714814999999994,193.574075,34.0175
1,56,Backward Pass Time,0.000316,7.742963,38.714815,6.8035,8.2e-05,7.742963,38.714815,6.8035,0.652546,54.200741,271.00370499999997,47.6245,0.506399,38.714814999999994,193.574075,34.0175
1,57,Backward Pass Time,0.00036,7.742963,38.714815,6.8035,8e-05,7.742963,38.714815,6.8035,0.650302,46.457778,232.28888999999998,40.821,0.506609,38.714814999999994,193.574075,34.0175
1,58,Backward Pass Time,0.000305,7.742963,38.714815,6.8035,7.6e-05,7.742963,38.714815,6.8035,0.650455,54.200741,271.00370499999997,47.6245,0.507502,38.714814999999994,193.574075,34.0175
1,59,Backward Pass Time,0.000379,7.742963,38.714815,6.8035,8.6e-05,7.742963,38.714815,6.8035,0.651488,54.200741,271.00370499999997,47.6245,0.50739,38.714814999999994,193.574075,34.0175
1,60,Backward Pass Time,0.000432,7.742963,38.714815,6.8035,8.3e-05,7.742963,38.714815,6.8035,0.651031,46.457778,232.28888999999998,40.821,0.505275,38.714814999999994,193.574075,34.0175
1,61,Backward Pass Time,0.000372,7.742963,38.714815,6.8035,8.7e-05,7.742963,38.714815,6.8035,0.65052,54.200741,271.00370499999997,47.6245,0.505203,38.714814999999994,193.574075,34.0175
1,62,Backward Pass Time,0.000444,7.742963,38.714815,6.8035,8.8e-05,7.742963,38.714815,6.8035,0.65057,46.457778,232.28888999999998,40.821,0.505393,38.714814999999994,193.574075,34.0175
1,63,Backward Pass Time,0.000314,7.742963,38.714815,6.8035,7.6e-05,7.742963,38.714815,6.8035,0.651461,54.200741,271.00370499999997,47.6245,0.506267,38.714814999999994,193.574075,34.0175
1,64,Backward Pass Time,0.00033,7.742963,38.714815,6.8035,9.1e-05,7.742963,38.714815,6.8035,0.651981,46.457778,232.28888999999998,40.821,0.505614,38.714814999999994,193.574075,34.0175
1,65,Backward Pass Time,0.000302,7.742963,38.714815,6.8035,8e-05,7.742963,38.714815,6.8035,0.655688,54.200741,271.00370499999997,47.6245,0.505885,38.714814999999994,193.574075,34.0175
1,66,Backward Pass Time,0.00038,7.742963,38.714815,6.8035,8.8e-05,7.742963,38.714815,6.8035,0.653507,54.200741,271.00370499999997,47.6245,0.509753,38.714814999999994,193.574075,34.0175
1,67,Backward Pass Time,0.000751,7.742963,38.714815,6.8035,0.000121,7.742963,38.714815,6.8035,0.64874,46.457778,232.28888999999998,40.821,0.507709,38.714814999999994,193.574075,34.0175
1,68,Backward Pass Time,0.000324,7.742963,38.714815,6.8035,0.000134,7.742963,38.714815,6.8035,0.652759,54.200741,271.00370499999997,47.6245,0.50617,38.714814999999994,193.574075,34.0175
